,Team,Month,playoff games,month_of_season
122,Golden State Warriors,2022-05-01,11,8
123,Miami Heat,2022-05-01,13,8
124,Dallas Mavericks,2022-05-01,12,8
125,Boston Celtics,2022-05-01,14,8
126,Milwaukee Bucks,2022-05-01,7,8
127,Philadelphia 76ers,2022-05-01,6,8
128,Utah Jazz,2022-05-01,0,8
129,Denver Nuggets,2022-05-01,0,8
130,Toronto Raptors,2022-05-01,0,8
131,Chicago Bulls,2022-05-01,0,8
132,Minnesota Timberwolves,2022-05-01,0,8
133,Brooklyn Nets,2022-05-01,0,8
134,Cleveland Cavaliers,2022-05-01,0,8
135,Atlanta Hawks,2022-05-01,0,8
136,Charlotte Hornets,2022-05-01,0,8
137,Los Angeles Clippers,2022-05-01,0,8
138,New York Knicks,2022-05-01,0,8
139,New Orleans Pelicans,2022-05-01,0,8
140,Washington Wizards,2022-05-01,0,8
141,San Antonio Spurs,2022-05-01,0,8
142,Los Angeles Lakers,2022-05-01,0,8
143,Sacramento Kings,2022-05-01,0,8
144,Portland Trail Blazers,2022-05-01,0,8
145,Indiana Pacers,2022-05-01,0,8
146,Oklahoma City Thunder,2022-05-01,0,8
147,Detroit Pistons,2022-05-01,0,8
148,Orlando Magic,2022-05-01,0,8
149,Houston Rockets,2022-05-01,0,8
150,Phoenix Suns,2022-06-01,0,9
151,Memphis Grizzlies,2022-06-01,0,9
152,Golden State Warriors,2022-06-01,6,9
153,Miami Heat,2022-06-01,0,9
154,Dallas Mavericks,2022-06-01,0,9
155,Boston Celtics,2022-06-01,6,9
156,Milwaukee Bucks,2022-06-01,0,9
157,Philadelphia 76ers,2022-06-01,0,9
158,Utah Jazz,2022-06-01,0,9
159,Denver Nuggets,2022-06-01,0,9
160,Toronto Raptors,2022-06-01,0,9
161,Chicago Bulls,2022-06-01,0,9
162,Minnesota Timberwolves,2022-06-01,0,9
163,Brooklyn Nets,2022-06-01,0,9
164,Cleveland Cavaliers,2022-06-01,0,9
165,Atlanta Hawks,2022-06-01,0,9
166,Charlotte Hornets,2022-06-01,0,9
167,Los Angeles Clippers,2022-06-01,0,9
168,New York Knicks,2022-06-01,0,9
169,New Orleans Pelicans,2022-06-01,0,9
170,Washington Wizards,2022-06-01,0,9
171,San Antonio Spurs,2022-06-01,0,9
172,Los Angeles Lakers,2022-06-01,0,9
173,Sacramento Kings,2022-06-01,0,9
174,Portland Trail Blazers,2022-06-01,0,9
175,Indiana Pacers,2022-06-01,0,9
176,Oklahoma City Thunder,2022-06-01,0,9
177,Detroit Pistons,2022-06-01,0,9
178,Orlando Magic,2022-06-01,0,9
179,Houston Rockets,2022-06-01,0,9
