NBA_team,nearest_month,total n,total weighted n,Q1010_total,Q3010_total,Q1030_total,Q1040_total,Q1010_adj_total,Q3010_adj_total,Q1030_adj_total,Q1040_adj_total,Q1010_weighted_total,Q3010_weighted_total,Q1030_weighted_total,Q1040_weighted_total,Q1010_n,Q3010_n,Q1030_n,Q1040_n,Q1010_weighted_n,Q3010_weighted_n,Q1030_weighted_n,Q1040_weighted_n,Q1010,Q3010,Q1030,Q1040,Q1010_adj,Q3010_adj,Q1030_adj,Q1040_adj,Q1010_weighted,Q3010_weighted,Q1030_weighted,Q1040_weighted
Denver Nuggets,6/1/2021,10,10.96,16,13,17,15,0,1,1,1,0,0.39,1.43,1.43,8,8,2,8,9.57,9.57,1.82,9.57,2,1.625,8.5,1.875,0,0.125,0.5,0.125,0,0.040752351,0.785714286,0.149425287
Sacramento Kings,6/1/2021,6,10.26,16,13,39,10,1,2,2,2,0.46,2.14,5.76,3.19,6,6,5,6,10.26,10.26,9.08,10.26,2.666666667,2.166666667,7.8,1.666666667,0.166666667,0.333333333,0.4,0.333333333,0.044834308,0.208576998,0.634361233,0.310916179
New Orleans Pelicans,6/1/2021,11,4.22,28,19,40,16,4,2,2,4,1.54,0.59,0.7,1.55,10,10,6,10,4.02,4.02,2.08,4.02,2.8,1.9,6.666666667,1.6,0.4,0.2,0.333333333,0.4,0.383084577,0.146766169,0.336538462,0.385572139
Memphis Grizzlies,6/1/2021,11,8.62,18,16,24,13,1,2,1,3,0.68,1.01,0.58,1.69,8,8,4,8,5.49,5.49,3.21,5.49,2.25,2,6,1.625,0.125,0.25,0.25,0.375,0.123861566,0.183970856,0.180685358,0.307832423
Indiana Pacers,6/1/2021,11,14.59,30,24,41,18,3,4,1,4,4.74,6.59,3.43,6.37,11,11,6,11,14.59,14.59,8.05,14.59,2.727272727,2.181818182,6.833333333,1.636363636,0.272727273,0.363636364,0.166666667,0.363636364,0.324880055,0.451679232,0.426086957,0.436600411
Detroit Pistons,6/1/2021,19,19.46,42,29,61,24,3,4,2,6,7.62,2.97,4.94,9.25,15,15,8,15,17.89,17.89,11.53,17.89,2.8,1.933333333,7.625,1.6,0.2,0.266666667,0.25,0.4,0.425936277,0.166014533,0.428447528,0.517048631
Orlando Magic,7/1/2021,43,42.01,99,76,163,60,9,12,7,14,9.14,12.41,5.03,11.58,37,37,23,37,35.22,35.22,23.74,35.22,2.675675676,2.054054054,7.086956522,1.621621622,0.243243243,0.324324324,0.304347826,0.378378378,0.259511641,0.352356616,0.211878686,0.32879046
No Team,7/1/2021,127,131.78,254,210,335,181,20,27,15,23,18.61,28.79,16.08,22.35,102,102,52,102,115.45,115.45,63.72,115.45,2.490196078,2.058823529,6.442307692,1.774509804,0.196078431,0.264705882,0.288461538,0.225490196,0.161195323,0.249372023,0.252354049,0.193590299
Atlanta Hawks,7/1/2021,22,14.38,41,29,63,29,4,3,4,3,1.64,1.62,2.19,1.68,16,16,8,16,11.69,11.69,3.93,11.69,2.5625,1.8125,7.875,1.8125,0.25,0.1875,0.5,0.1875,0.140290847,0.138579983,0.557251908,0.143712575
Phoenix Suns,7/1/2021,18,24.09,38,29,51,26,3,2,1,4,2.28,1.6,1.14,6.19,15,15,9,15,18.4,18.4,15.48,18.4,2.533333333,1.933333333,5.666666667,1.733333333,0.2,0.133333333,0.111111111,0.266666667,0.123913043,0.086956522,0.073643411,0.336413043
Charlotte Hornets,7/1/2021,50,48.88,113,88,160,72,14,13,8,10,16.02,9.15,14.75,5.39,41,41,21,41,42.09,42.09,27.53,42.09,2.756097561,2.146341463,7.619047619,1.756097561,0.341463415,0.317073171,0.380952381,0.243902439,0.380612972,0.217391304,0.53577915,0.128058921
Los Angeles Lakers,7/1/2021,20,18.45,51,38,76,32,4,5,4,6,3.63,5.61,6.51,8.12,19,19,13,19,17.9,17.9,14.13,17.9,2.684210526,2,5.846153846,1.684210526,0.210526316,0.263157895,0.307692308,0.315789474,0.202793296,0.313407821,0.460721868,0.453631285
Boston Celtics,7/1/2021,40,38.95,79,64,110,49,9,10,7,11,5.83,7.92,4.42,8.48,30,30,14,30,27.22,27.22,13.25,27.22,2.633333333,2.133333333,7.857142857,1.633333333,0.3,0.333333333,0.5,0.366666667,0.214180749,0.290962528,0.333584906,0.311535636
Memphis Grizzlies,7/1/2021,10,8,16,11,28,11,1,1,1,1,0.21,0.41,0.21,0.21,6,6,4,6,2.45,2.45,1.8,2.45,2.666666667,1.833333333,7,1.833333333,0.166666667,0.166666667,0.25,0.166666667,0.085714286,0.167346939,0.116666667,0.085714286
New York Knicks/Brooklyn Nets,7/1/2021,48,53.21,127,95,194,70,13,16,11,16,21.19,17.78,12.44,22.35,43,43,27,43,50.64,50.64,32.53,50.64,2.953488372,2.209302326,7.185185185,1.627906977,0.302325581,0.372093023,0.407407407,0.372093023,0.418443918,0.351105845,0.382416231,0.441350711
Washington Wizards,7/1/2021,28,26.21,64,38,102,33,8,4,6,7,7.28,4.75,6.6,6.49,20,20,15,20,16.93,16.93,13.75,16.93,3.2,1.9,6.8,1.65,0.4,0.2,0.4,0.35,0.430005907,0.280567041,0.48,0.383343178
San Antonio Spurs,7/1/2021,17,13.29,42,34,66,22,5,8,3,4,3.74,6.28,2.63,3.81,13,13,8,13,9.19,9.19,6,9.19,3.230769231,2.615384615,8.25,1.692307692,0.384615385,0.615384615,0.375,0.307692308,0.406964091,0.683351469,0.438333333,0.414581066
Unsure,7/1/2021,139,117.39,268,208,304,188,26,27,14,26,27.11,27.08,13.44,24.48,107,107,47,107,97.95,97.95,41.63,97.95,2.504672897,1.943925234,6.468085106,1.757009346,0.242990654,0.252336449,0.29787234,0.242990654,0.276773864,0.276467586,0.322844103,0.24992343
Cleveland Cavaliers,7/1/2021,22,19.04,36,35,51,30,1,4,2,4,0.28,1.33,2.41,2.66,17,17,9,17,15.98,15.98,7.48,15.98,2.117647059,2.058823529,5.666666667,1.764705882,0.058823529,0.235294118,0.222222222,0.235294118,0.017521902,0.083229036,0.322192513,0.166458073
Philadelphia 76ers,7/1/2021,30,29.56,78,62,130,49,7,12,7,7,8.34,11.59,8.62,10.08,28,28,17,28,28.95,28.95,22.13,28.95,2.785714286,2.214285714,7.647058824,1.75,0.25,0.428571429,0.411764706,0.25,0.288082902,0.400345423,0.389516493,0.348186528
Los Angeles Lakers/Clippers,7/1/2021,46,80.63,119,91,226,64,15,17,14,16,23.83,33.49,27.27,28.66,40,40,28,40,73.44,73.44,46.29,73.44,2.975,2.275,8.071428571,1.6,0.375,0.425,0.5,0.4,0.324482571,0.456018519,0.589112119,0.390250545
Houston Rockets,7/1/2021,21,20.22,49,31,77,23,6,4,4,11,7.71,1.78,4.05,12.09,17,17,10,17,18.6,18.6,12.79,18.6,2.882352941,1.823529412,7.7,1.352941176,0.352941176,0.235294118,0.4,0.647058824,0.414516129,0.095698925,0.316653636,0.65
Dallas Mavericks,7/1/2021,29,16.32,80,62,137,43,13,12,9,13,8.58,6.54,6.32,8.69,28,28,18,28,15.64,15.64,11.6,15.64,2.857142857,2.214285714,7.611111111,1.535714286,0.464285714,0.428571429,0.5,0.464285714,0.54859335,0.418158568,0.544827586,0.555626598
Denver Nuggets,7/1/2021,11,16.34,23,18,38,13,3,2,3,3,3.08,2.34,3.08,3.08,8,8,5,8,13.87,13.87,8.42,13.87,2.875,2.25,7.6,1.625,0.375,0.25,0.6,0.375,0.222062004,0.168709445,0.365795724,0.222062004
Detroit Pistons,7/1/2021,22,18.62,52,38,79,33,5,6,3,5,5.91,6.78,4.13,5.56,19,19,11,19,17.81,17.81,11.7,17.81,2.736842105,2,7.181818182,1.736842105,0.263157895,0.315789474,0.272727273,0.263157895,0.331836047,0.380685008,0.352991453,0.312184166
Miami Heat,7/1/2021,24,16.84,48,37,76,35,5,5,5,3,6.66,6.97,6.36,3.14,19,19,10,19,13.43,13.43,9.91,13.43,2.526315789,1.947368421,7.6,1.842105263,0.263157895,0.263157895,0.5,0.157894737,0.495904691,0.518987342,0.641775984,0.233804914
Indiana Pacers,7/1/2021,12,8.7,25,17,37,17,3,2,1,1,1.98,1.23,0.27,0.96,9,9,6,9,7.11,7.11,5.83,7.11,2.777777778,1.888888889,6.166666667,1.888888889,0.333333333,0.222222222,0.166666667,0.111111111,0.278481013,0.172995781,0.046312178,0.135021097
Minnesota Timberwolves,7/1/2021,11,13.84,24,17,37,19,3,1,3,1,3.08,1.03,3.08,0.78,10,10,5,10,13.47,13.47,8.95,13.47,2.4,1.7,7.4,1.9,0.3,0.1,0.6,0.1,0.228656273,0.076466221,0.344134078,0.057906459
Milwaukee Bucks,7/1/2021,9,4.41,21,19,32,16,1,3,1,2,0.76,1.58,0.76,1.03,9,9,6,9,4.41,4.41,3.15,4.41,2.333333333,2.111111111,5.333333333,1.777777778,0.111111111,0.333333333,0.166666667,0.222222222,0.172335601,0.358276644,0.241269841,0.233560091
Golden State Warriors,7/1/2021,12,26.74,32,27,38,19,4,6,1,3,11.65,16.23,3.81,10.02,11,11,6,11,25.49,25.49,12.57,25.49,2.909090909,2.454545455,6.333333333,1.727272727,0.363636364,0.545454545,0.166666667,0.272727273,0.457041977,0.636720282,0.303102625,0.393095332
Portland Trail Blazers,7/1/2021,11,13.29,25,19,40,20,1,1,1,2,1.51,0.85,1.51,1.15,11,11,6,11,13.29,13.29,6.06,13.29,2.272727273,1.727272727,6.666666667,1.818181818,0.090909091,0.090909091,0.166666667,0.181818182,0.113619263,0.063957863,0.249174917,0.086531226
New Orleans Pelicans,7/1/2021,11,5.97,21,16,34,14,2,2,2,2,1.65,2.11,1.65,2.11,8,8,5,8,4.45,4.45,2.99,4.45,2.625,2,6.8,1.75,0.25,0.25,0.4,0.25,0.370786517,0.474157303,0.551839465,0.474157303
Chicago Bulls,7/1/2021,22,23.93,55,41,76,34,7,6,4,6,8.13,7.57,3.88,7.55,20,20,12,20,21.01,21.01,12.44,21.01,2.75,2.05,6.333333333,1.7,0.35,0.3,0.333333333,0.3,0.386958591,0.360304617,0.311897106,0.359352689
Oklahoma City Thunder,7/1/2021,9,9.01,20,19,37,12,2,5,2,4,1.87,5.85,1.87,3.01,8,8,7,8,8.49,8.49,7.88,8.49,2.5,2.375,5.285714286,1.5,0.25,0.625,0.285714286,0.5,0.220259128,0.689045936,0.237309645,0.354534747
Utah Jazz,7/1/2021,9,8.43,21,19,10,17,2,2,0,1,4.63,0.96,0,0.26,9,9,2,9,8.43,8.43,0.71,8.43,2.333333333,2.111111111,5,1.888888889,0.222222222,0.222222222,0,0.111111111,0.549228944,0.113879004,0,0.03084223
Sacramento Kings,7/1/2021,2,0.45,1,2,,2,0,0,,0,0,0,,0,1,1,0,1,0.25,0.25,0,0.25,1,2,0,2,0,0,0,0,0,0,0,0
New York Knicks,7/1/2021,4,2.01,12,11,22,7,1,3,1,1,0.51,1.6,0.51,0.89,4,4,3,4,2.01,2.01,1.6,2.01,3,2.75,7.333333333,1.75,0.25,0.75,0.333333333,0.25,0.253731343,0.7960199,0.31875,0.44278607
No Team,8/1/2021,115,117.29,238,181,325,157,22,25,18,27,19.89,21.24,17.01,28.73,92,92,48,92,93.38,93.38,50.35,93.38,2.586956522,1.967391304,6.770833333,1.706521739,0.239130435,0.27173913,0.375,0.293478261,0.213000643,0.2274577,0.337835154,0.307667595
Detroit Pistons,8/1/2021,34,42.3,68,50,103,47,6,4,6,5,11.49,8.74,12.48,11.1,26,26,16,26,38.63,38.63,23.96,38.63,2.615384615,1.923076923,6.4375,1.807692308,0.230769231,0.153846154,0.375,0.192307692,0.297437225,0.226249029,0.520868114,0.287341444
Utah Jazz,8/1/2021,6,7.54,15,15,15,11,2,4,1,1,1.07,3.23,0.77,0.77,6,6,2,6,7.54,7.54,1.07,7.54,2.5,2.5,7.5,1.833333333,0.333333333,0.666666667,0.5,0.166666667,0.141909814,0.428381963,0.719626168,0.102122016
Cleveland Cavaliers,8/1/2021,29,23.89,71,52,109,42,5,6,6,10,4.48,6.27,6.88,8.63,26,26,17,26,20.01,20.01,14.83,20.01,2.730769231,2,6.411764706,1.615384615,0.192307692,0.230769231,0.352941176,0.384615385,0.223888056,0.313343328,0.463924477,0.431284358
Los Angeles Lakers/Clippers,8/1/2021,40,58.62,92,76,162,49,13,13,9,17,22.05,26.32,16.25,31.78,33,33,21,33,48.29,48.29,32.42,48.29,2.787878788,2.303030303,7.714285714,1.484848485,0.393939394,0.393939394,0.428571429,0.515151515,0.456616277,0.545040381,0.501233806,0.658107269
New Orleans Pelicans,8/1/2021,12,15.82,24,16,37,11,3,3,3,5,3.52,3.52,4.49,5.87,8,8,5,8,10.72,10.72,8.49,10.72,3,2,7.4,1.375,0.375,0.375,0.6,0.625,0.328358209,0.328358209,0.528857479,0.547574627
Chicago Bulls,8/1/2021,18,23.51,39,31,51,32,2,3,2,0,0.66,4.86,4,0,16,16,9,16,19.45,19.45,10.08,19.45,2.4375,1.9375,5.666666667,2,0.125,0.1875,0.222222222,0,0.033933162,0.249871465,0.396825397,0
Unsure,8/1/2021,125,129.38,278,204,407,164,33,34,24,34,56.08,50.73,35.29,47.62,99,99,59,99,107.67,107.67,75.09,107.67,2.808080808,2.060606061,6.898305085,1.656565657,0.333333333,0.343434343,0.406779661,0.343434343,0.520850748,0.471161884,0.46996937,0.442277329
New York Knicks/Brooklyn Nets,8/1/2021,70,76.83,163,121,315,97,18,20,19,19,24.67,25.6,27.23,23.11,58,58,44,58,63.17,63.17,50.54,63.17,2.810344828,2.086206897,7.159090909,1.672413793,0.310344828,0.344827586,0.431818182,0.327586207,0.390533481,0.405255659,0.538781163,0.365838214
Boston Celtics,8/1/2021,43,37.73,85,69,103,63,4,9,4,5,3.73,6.89,2.04,2.7,34,34,18,34,29.62,29.62,10.98,29.62,2.5,2.029411765,5.722222222,1.852941176,0.117647059,0.264705882,0.222222222,0.147058824,0.125928427,0.232613099,0.18579235,0.091154625
Oklahoma City Thunder,8/1/2021,17,14.12,31,26,43,23,3,3,3,5,1.61,2.38,1.55,3.69,14,14,6,14,11.61,11.61,3.65,11.61,2.214285714,1.857142857,7.166666667,1.642857143,0.214285714,0.214285714,0.5,0.357142857,0.138673557,0.204995693,0.424657534,0.317829457
Houston Rockets,8/1/2021,17,15.42,36,26,59,19,6,4,3,5,9.01,6.57,3.62,7.36,12,12,8,12,13.28,13.28,11.28,13.28,3,2.166666667,7.375,1.583333333,0.5,0.333333333,0.375,0.416666667,0.678463855,0.494728916,0.320921986,0.554216867
Philadelphia 76ers,8/1/2021,33,33.95,64,51,88,46,5,7,2,6,5.54,6.77,1.83,7.72,26,26,14,26,29.74,29.74,18.3,29.74,2.461538462,1.961538462,6.285714286,1.769230769,0.192307692,0.269230769,0.142857143,0.230769231,0.186281103,0.227639543,0.1,0.259583053
Memphis Grizzlies,8/1/2021,15,10.35,26,18,53,17,3,2,4,1,2.89,1.01,2.32,0.38,9,9,6,9,5.92,5.92,3.31,5.92,2.888888889,2,8.833333333,1.888888889,0.333333333,0.222222222,0.666666667,0.111111111,0.488175676,0.170608108,0.700906344,0.064189189
Miami Heat,8/1/2021,24,29.27,63,49,94,35,8,9,6,9,8.23,8.01,8.35,12.79,22,22,16,22,27.61,27.61,19.19,27.61,2.863636364,2.227272727,5.875,1.590909091,0.363636364,0.409090909,0.375,0.409090909,0.298080406,0.290112278,0.43512246,0.463237957
Indiana Pacers,8/1/2021,14,12.67,34,25,52,22,4,4,3,4,2.79,2.18,2.92,3.47,13,13,10,13,10.25,10.25,8.85,10.25,2.615384615,1.923076923,5.2,1.692307692,0.307692308,0.307692308,0.3,0.307692308,0.272195122,0.212682927,0.329943503,0.338536585
Atlanta Hawks,8/1/2021,37,28.65,85,65,120,57,9,9,8,9,10.13,10.68,7.59,10.36,33,33,19,33,26.49,26.49,17,26.49,2.575757576,1.96969697,6.315789474,1.727272727,0.272727273,0.272727273,0.421052632,0.272727273,0.382408456,0.403171008,0.446470588,0.391090978
Charlotte Hornets,8/1/2021,34,27.85,56,56,43,49,2,8,0,3,1.35,8.02,0,1.63,26,26,8,26,21.41,21.41,5.29,21.41,2.153846154,2.153846154,5.375,1.884615385,0.076923077,0.307692308,0,0.115384615,0.063054647,0.374591312,0,0.076132648
Portland Trail Blazers,8/1/2021,10,11.63,20,19,24,15,1,3,2,1,0.53,2.73,0.83,0.53,8,8,3,8,9.83,9.83,1.69,9.83,2.5,2.375,8,1.875,0.125,0.375,0.666666667,0.125,0.053916582,0.277721261,0.49112426,0.053916582
Los Angeles Lakers,8/1/2021,21,24.36,45,35,80,27,4,5,4,7,5.71,6.2,4.37,11.27,17,17,12,17,17.38,17.38,13.08,17.38,2.647058824,2.058823529,6.666666667,1.588235294,0.235294118,0.294117647,0.333333333,0.411764706,0.32853855,0.356731876,0.334097859,0.64844649
Phoenix Suns,8/1/2021,10,11.75,19,14,26,12,2,2,2,2,1.32,2.57,2.57,2.57,7,7,3,7,6.92,6.92,4.21,6.92,2.714285714,2,8.666666667,1.714285714,0.285714286,0.285714286,0.666666667,0.285714286,0.190751445,0.371387283,0.610451306,0.371387283
Orlando Magic,8/1/2021,25,20.73,52,41,92,35,3,6,6,7,1.14,2.99,4.77,5.19,21,21,13,21,18,18,12.36,18,2.476190476,1.952380952,7.076923077,1.666666667,0.142857143,0.285714286,0.461538462,0.333333333,0.063333333,0.166111111,0.38592233,0.288333333
Dallas Mavericks,8/1/2021,26,19.2,48,39,66,34,5,5,3,4,4.1,3.91,3.01,4.23,19,19,9,19,14.12,14.12,6.92,14.12,2.526315789,2.052631579,7.333333333,1.789473684,0.263157895,0.263157895,0.333333333,0.210526316,0.290368272,0.276912181,0.434971098,0.299575071
Sacramento Kings,8/1/2021,6,11.88,10,7,18,6,1,1,0,0,1.09,1.09,0,0,3,3,3,3,6.21,6.21,6.21,6.21,3.333333333,2.333333333,6,2,0.333333333,0.333333333,0,0,0.175523349,0.175523349,0,0
Denver Nuggets,8/1/2021,20,19.01,43,31,65,29,1,3,4,5,0.97,3.08,4.94,5.73,17,17,9,17,17.07,17.07,10.56,17.07,2.529411765,1.823529412,7.222222222,1.705882353,0.058823529,0.176470588,0.444444444,0.294117647,0.056824839,0.180433509,0.46780303,0.335676626
Milwaukee Bucks,8/1/2021,16,10.8,31,27,39,27,1,2,1,1,0.56,1.22,0.5,0.56,14,14,6,14,10.15,10.15,4.28,10.15,2.214285714,1.928571429,6.5,1.928571429,0.071428571,0.142857143,0.166666667,0.071428571,0.055172414,0.120197044,0.11682243,0.055172414
San Antonio Spurs,8/1/2021,9,8.79,15,11,27,10,2,2,2,2,1.77,4.19,4.76,4.76,6,6,4,6,8.03,8.03,6.67,8.03,2.5,1.833333333,6.75,1.666666667,0.333333333,0.333333333,0.5,0.333333333,0.220423412,0.521793275,0.713643178,0.592777086
Minnesota Timberwolves,8/1/2021,14,10.37,22,19,40,15,2,3,2,3,1.35,1.94,1.35,1.94,9,9,6,9,4.51,4.51,3.35,4.51,2.444444444,2.111111111,6.666666667,1.666666667,0.222222222,0.333333333,0.333333333,0.333333333,0.299334812,0.430155211,0.402985075,0.430155211
Washington Wizards,8/1/2021,21,22.19,44,33,56,32,3,3,1,4,2.25,1.25,0.32,4.43,18,18,9,18,18.8,18.8,6.45,18.8,2.444444444,1.833333333,6.222222222,1.777777778,0.166666667,0.166666667,0.111111111,0.222222222,0.119680851,0.066489362,0.049612403,0.235638298
Golden State Warriors,8/1/2021,13,17.95,32,23,55,18,5,4,4,4,10.78,4.61,4.87,9.46,11,11,8,11,15.64,15.64,13.18,15.64,2.909090909,2.090909091,6.875,1.636363636,0.454545455,0.363636364,0.5,0.363636364,0.689258312,0.294757033,0.369499241,0.604859335
New York Knicks,8/1/2021,11,12,21,16,37,13,2,2,0,1,3.16,2.84,0,2.11,7,7,6,7,6.94,6.94,6.49,6.94,3,2.285714286,6.166666667,1.857142857,0.285714286,0.285714286,0,0.142857143,0.455331412,0.409221902,0,0.304034582
Unsure,9/1/2021,139,118.97,278,237,367,211,21,32,17,27,14.17,26.23,14.5,25.72,119,119,59,119,100.19,100.19,56.72,100.19,2.336134454,1.991596639,6.220338983,1.773109244,0.176470588,0.268907563,0.288135593,0.226890756,0.141431281,0.261802575,0.255641749,0.256712247
No Team,9/1/2021,119,117.82,255,215,330,183,24,34,17,23,24.83,35.63,14.44,23.16,103,103,51,103,107.56,107.56,60.62,107.56,2.475728155,2.087378641,6.470588235,1.776699029,0.233009709,0.330097087,0.333333333,0.223300971,0.230847899,0.331256973,0.238205213,0.215321681
Dallas Mavericks,9/1/2021,31,25.12,61,51,95,45,5,8,7,7,4.84,8.31,5.68,5.16,26,26,14,26,17.75,17.75,13.12,17.75,2.346153846,1.961538462,6.785714286,1.730769231,0.192307692,0.307692308,0.5,0.269230769,0.272676056,0.468169014,0.432926829,0.290704225
Los Angeles Lakers,9/1/2021,13,17.92,35,24,62,20,5,4,5,4,7.7,7.25,7.58,7.25,12,12,9,12,17.32,17.32,13.2,17.32,2.916666667,2,6.888888889,1.666666667,0.416666667,0.333333333,0.555555556,0.333333333,0.444572748,0.418591224,0.574242424,0.418591224
San Antonio Spurs,9/1/2021,21,20.35,43,32,69,23,5,5,0,7,6.14,7.97,0,10.41,15,15,11,15,17.58,17.58,15.36,17.58,2.866666667,2.133333333,6.272727273,1.533333333,0.333333333,0.333333333,0,0.466666667,0.349260523,0.453356086,0,0.592150171
Los Angeles Lakers/Clippers,9/1/2021,28,35.02,81,61,164,42,10,12,9,12,11.53,17.13,7.98,13.05,27,27,21,27,32.02,32.02,25.05,32.02,3,2.259259259,7.80952381,1.555555556,0.37037037,0.444444444,0.428571429,0.444444444,0.360087445,0.534978139,0.318562874,0.407557776
Philadelphia 76ers,9/1/2021,40,41.53,90,62,151,48,10,10,6,12,7.23,10.49,3.64,9.93,30,30,20,30,28.94,28.94,13.76,28.94,3,2.066666667,7.55,1.6,0.333333333,0.333333333,0.3,0.4,0.249827229,0.362474084,0.264534884,0.343123704
Miami Heat,9/1/2021,19,17.17,27,22,43,19,3,3,3,3,4.8,4.8,2.95,4.47,11,11,5,11,9.96,9.96,5.64,9.96,2.454545455,2,8.6,1.727272727,0.272727273,0.272727273,0.6,0.272727273,0.481927711,0.481927711,0.523049645,0.448795181
New York Knicks/Brooklyn Nets,9/1/2021,67,74.39,151,119,257,86,17,22,15,24,21.39,26.3,21.25,24.69,55,55,34,55,64.31,64.31,38.95,64.31,2.745454545,2.163636364,7.558823529,1.563636364,0.309090909,0.4,0.441176471,0.436363636,0.332607682,0.408956616,0.545571245,0.38392163
Washington Wizards,9/1/2021,26,23.65,68,50,103,40,8,6,6,10,8.3,3.05,6.76,6.06,25,25,14,25,22.65,22.65,15.3,22.65,2.72,2,7.357142857,1.6,0.32,0.24,0.428571429,0.4,0.366445916,0.134657837,0.441830065,0.267549669
Denver Nuggets,9/1/2021,11,14.48,20,14,26,13,2,0,1,3,0.86,0,1.26,2.12,8,8,4,8,11.64,11.64,7.12,11.64,2.5,1.75,6.5,1.625,0.25,0,0.25,0.375,0.073883162,0,0.176966292,0.182130584
Boston Celtics,9/1/2021,35,33.15,77,63,105,55,11,8,6,5,8.47,6.71,5.74,4.76,30,30,18,30,28.98,28.98,16.99,28.98,2.566666667,2.1,5.833333333,1.833333333,0.366666667,0.266666667,0.333333333,0.166666667,0.292270531,0.231538992,0.337845792,0.164251208
Atlanta Hawks,9/1/2021,44,41.29,91,75,144,59,6,10,9,13,4.44,9.91,8.22,14.05,36,36,19,36,35.69,35.69,20.67,35.69,2.527777778,2.083333333,7.578947368,1.638888889,0.166666667,0.277777778,0.473684211,0.361111111,0.124404595,0.277668815,0.397677794,0.393667694
Charlotte Hornets,9/1/2021,32,20.91,70,50,94,51,7,5,5,3,3.65,2.62,3.06,1.53,27,27,15,27,17.42,17.42,10.68,17.42,2.592592593,1.851851852,6.266666667,1.888888889,0.259259259,0.185185185,0.333333333,0.111111111,0.209529277,0.150401837,0.286516854,0.08783008
Orlando Magic,9/1/2021,32,30.39,75,58,114,46,5,7,7,10,3.89,10.95,6.31,12.45,28,28,15,28,25.39,25.39,11.64,25.39,2.678571429,2.071428571,7.6,1.642857143,0.178571429,0.25,0.466666667,0.357142857,0.153209925,0.431272154,0.54209622,0.490350532
Minnesota Timberwolves,9/1/2021,23,18.78,39,36,36,35,2,2,1,3,1.69,2.68,1.03,2.62,19,19,7,19,17,17,6.38,17,2.052631579,1.894736842,5.142857143,1.842105263,0.105263158,0.105263158,0.142857143,0.157894737,0.099411765,0.157647059,0.161442006,0.154117647
Detroit Pistons,9/1/2021,28,31.72,36,31,39,34,1,3,1,4,0.26,3.13,0.32,5.29,19,19,8,19,21.59,21.59,7.33,21.59,1.894736842,1.631578947,4.875,1.789473684,0.052631579,0.157894737,0.125,0.210526316,0.012042612,0.144974525,0.043656207,0.245020843
Portland Trail Blazers,9/1/2021,16,22.31,30,21,41,15,2,2,3,5,1.55,2.48,3.62,5.96,10,10,5,10,18.83,18.83,9.61,18.83,3,2.1,8.2,1.5,0.2,0.2,0.6,0.5,0.082315454,0.131704727,0.376690947,0.316516198
Milwaukee Bucks,9/1/2021,19,18.09,36,31,60,24,4,5,4,6,3.84,4.54,4.16,5.47,15,15,8,15,12.84,12.84,6.93,12.84,2.4,2.066666667,7.5,1.6,0.266666667,0.333333333,0.5,0.4,0.299065421,0.353582555,0.6002886,0.426012461
Houston Rockets,9/1/2021,24,18.75,59,38,110,31,9,6,8,7,7.3,4.67,4.46,3.45,19,19,14,19,14.08,14.08,10.04,14.08,3.105263158,2,7.857142857,1.631578947,0.473684211,0.315789474,0.571428571,0.368421053,0.518465909,0.331676136,0.444223108,0.245028409
Cleveland Cavaliers,9/1/2021,29,25.99,75,53,109,51,7,6,5,3,7.41,5.87,4.66,3.81,27,27,17,27,24.36,24.36,14.32,24.36,2.777777778,1.962962963,6.411764706,1.888888889,0.259259259,0.222222222,0.294117647,0.111111111,0.304187192,0.240968801,0.325418994,0.156403941
Indiana Pacers,9/1/2021,16,14.64,43,31,77,26,3,4,3,4,1.86,3.86,1.86,2.06,15,15,12,15,12.88,12.88,9.82,12.88,2.866666667,2.066666667,6.416666667,1.733333333,0.2,0.266666667,0.25,0.266666667,0.144409938,0.299689441,0.189409369,0.159937888
Memphis Grizzlies,9/1/2021,10,13.87,29,24,62,11,4,7,4,7,2.62,7.99,10.16,11.7,9,9,7,9,13.36,13.36,11.7,13.36,3.222222222,2.666666667,8.857142857,1.222222222,0.444444444,0.777777778,0.571428571,0.777777778,0.196107784,0.598053892,0.868376068,0.875748503
Phoenix Suns,9/1/2021,24,14.61,45,31,69,35,4,2,4,5,1.88,1.42,2.56,2.93,20,20,13,20,13.26,13.26,8.1,13.26,2.25,1.55,5.307692308,1.75,0.2,0.1,0.307692308,0.25,0.141779789,0.107088989,0.316049383,0.220965309
Golden State Warriors,9/1/2021,10,13.79,25,16,42,11,4,3,1,3,3.1,4.88,0.42,3.16,7,7,7,7,11.79,11.79,11.79,11.79,3.571428571,2.285714286,6,1.571428571,0.571428571,0.428571429,0.142857143,0.428571429,0.26293469,0.413910093,0.03562341,0.268023749
New Orleans Pelicans,9/1/2021,12,17.06,33,30,48,19,4,7,3,5,6.97,11.53,7.35,12.61,12,12,7,12,17.06,17.06,11.84,17.06,2.75,2.5,6.857142857,1.583333333,0.333333333,0.583333333,0.428571429,0.416666667,0.40855803,0.675849941,0.620777027,0.73915592
Sacramento Kings,9/1/2021,12,11.52,21,16,31,19,1,0,1,1,0.28,0,0.28,0.28,10,10,5,10,10.14,10.14,4.48,10.14,2.1,1.6,6.2,1.9,0.1,0,0.2,0.1,0.027613412,0,0.0625,0.027613412
