State,Team,Month,nba web/app unique visitors,search events (unique users),youtube videos watched (unique users),nba web/app unique visitors.1,search events (unique users).1,youtube videos watched (unique users).1,num_users,weight avg
TN,Memphis Grizzlies,5/1/2022,7,19,12,7.15528,18.44839,12.80381,427,0.85009
TN,Memphis Grizzlies,6/1/2022,5,17,15,5.39841,16.53224,17.98544,1000,0.748911
TN,Memphis Grizzlies,7/1/2022,10,7,22,7.29509,7.0005,20.0081,233,1.163163
TN,Memphis Grizzlies,8/1/2022,7,7,13,6.63152,9.67949,11.31207,820,0.838692
TX,Multiple,9/1/2021,4,14,29,4.23479,10.87905,37.0323,850,1.055312
TX,Multiple,10/1/2021,13,36,23,12.84213,37.89732,26.40322,754,1.029953
TX,Multiple,11/1/2021,8,42,29,9.67258,40.17262,28.17735,747,1.040304
TX,Multiple,12/1/2021,12,20,33,14.30947,17.73701,39.11186,812,1.029948
TX,Multiple,1/1/2022,15,12,31,16.48146,10.51666,38.19541,837,1.051615
TX,Multiple,2/1/2022,14,20,29,15.31013,17.59896,33.67452,835,1.050852
TX,Multiple,3/1/2022,24,27,42,27.15363,19.79786,52.31382,1627,0.999954
TX,Multiple,4/1/2022,32,34,48,43.28588,37.22125,59.47064,1616,0.99771
TX,Multiple,5/1/2022,39,46,58,39.07257,43.45465,68.4805,1614,0.995225
TX,Multiple,6/1/2022,30,49,58,31.7837,53.21096,64.03786,4035,0.897472
TX,Multiple,7/1/2022,27,34,80,25.10807,34.51513,87.49463,884,1.312643
TX,Multiple,8/1/2022,20,43,58,10.88943,51.72488,63.88457,3183,0.943809
UT,Utah Jazz,9/1/2021,0,2,3,0,1.10019,5.97828,100,0.882244
UT,Utah Jazz,10/1/2021,1,4,2,0.68005,3.56622,4.87329,81,0.977825
UT,Utah Jazz,11/1/2021,2,8,2,0.97387,7.20929,1.52746,81,0.944899
UT,Utah Jazz,12/1/2021,2,5,5,1.09461,4.77623,8.12826,81,0.939278
UT,Utah Jazz,1/1/2022,3,3,1,1.49325,1.86189,3.37284,89,0.91829
UT,Utah Jazz,2/1/2022,2,7,5,1.72159,6.56081,5.76171,91,0.945738
UT,Utah Jazz,3/1/2022,2,6,4,1.28762,5.82765,8.10366,170,0.875482
UT,Utah Jazz,4/1/2022,5,10,5,3.40265,9.26139,8.2229,168,0.861776
UT,Utah Jazz,5/1/2022,5,7,3,3.94517,4.5445,6.77791,157,0.864891
UT,Utah Jazz,6/1/2022,4,13,3,2.55066,11.33802,2.87691,361,0.838031
UT,Utah Jazz,7/1/2022,3,6,5,2.07306,6.49185,3.11034,88,1.246654
UT,Utah Jazz,8/1/2022,4,2,5,2.83346,2.37108,7.02058,293,0.906223
VA,Unsure,9/1/2021,2,5,8,1.28334,3.07388,8.76536,264,1.044054
VA,Unsure,10/1/2021,4,17,12,6.7151,22.15787,9.62637,253,1.011066
VA,Unsure,11/1/2021,6,22,13,8.01049,20.77998,12.57436,248,0.990023
VA,Unsure,12/1/2021,8,8,14,10.12574,4.8157,11.89213,268,0.98058
VA,Unsure,1/1/2022,9,11,14,13.2609,9.99299,12.7085,281,0.998359
VA,Unsure,2/1/2022,6,3,15,9.3067,2.26299,15.32229,266,0.991166
VA,Unsure,3/1/2022,9,13,18,11.46395,12.88365,18.66538,465,0.908223
VA,Unsure,4/1/2022,11,13,24,15.1479,13.34379,21.91934,456,0.908078
VA,Unsure,5/1/2022,7,17,19,5.83566,20.19935,20.01561,465,0.888755
VA,Unsure,6/1/2022,5,19,27,3.85093,19.32703,28.74527,1057,0.784374
VA,Unsure,7/1/2022,11,12,27,11.67066,12.68299,24.24517,293,1.222311
VA,Unsure,8/1/2022,9,8,12,7.534,8.74734,15.07144,875,0.871091
VI,No Team,9/1/2021,0,0,1,0,0,0.48297,1,0.48297
VI,No Team,10/1/2021,0,0,1,0,0,0.51276,1,0.51276
VI,No Team,11/1/2021,0,0,1,0,0,0.48246,1,0.48246
VI,No Team,7/1/2022,0,1,0,0,0.40811,0,1,1.63069
VT,Unsure,12/1/2021,0,0,1,0,0,0.38003,14,0.868132
VT,Unsure,1/1/2022,0,0,1,0,0,0.33628,14,0.648629
VT,Unsure,2/1/2022,0,0,1,0,0,0.33209,15,0.600423
VT,Unsure,3/1/2022,0,0,1,0,0,0.26956,21,0.796221
VT,Unsure,6/1/2022,1,1,0,0.89883,1.14198,0,36,0.94914
VT,Unsure,8/1/2022,1,0,0,0.86105,0,0,35,1.189163
WA,No Team,9/1/2021,3,2,13,3.45689,2.37402,18.48744,256,1.05684
WA,No Team,10/1/2021,1,18,6,1.12736,27.02269,5.72745,225,1.110107
WA,No Team,11/1/2021,3,19,7,2.08672,20.5942,7.32867,228,1.063183
WA,No Team,12/1/2021,4,5,5,2.76939,4.10577,8.4029,230,1.176956
WA,No Team,1/1/2022,5,8,9,6.82078,11.51347,8.67335,230,1.149235
WA,No Team,2/1/2022,5,8,10,5.77674,16.78336,13.5468,224,1.143576
WA,No Team,3/1/2022,7,20,9,16.50399,32.16817,13.59182,371,1.173814
WA,No Team,4/1/2022,7,16,11,7.54254,26.70335,12.53228,356,1.122888
WA,No Team,5/1/2022,8,29,15,5.68426,47.62866,15.98453,363,1.105808
WA,No Team,6/1/2022,4,22,17,3.23481,46.63499,19.06644,846,1.001812
WA,No Team,7/1/2022,6,12,17,7.36885,23.69944,19.48747,222,1.536106
WA,No Team,8/1/2022,5,8,11,3.79359,16.60764,11.06744,667,1.122283
WI,Milwaukee Bucks,9/1/2021,1,1,8,0.52084,0.43574,8.01901,232,0.94406
WI,Milwaukee Bucks,10/1/2021,2,10,5,1.33396,7.79514,4.26552,208,0.970011
WI,Milwaukee Bucks,11/1/2021,1,15,4,0.94938,10.46028,3.38289,207,0.932279
WI,Milwaukee Bucks,12/1/2021,4,10,5,7.42327,12.13942,4.20092,220,0.963264
WI,Milwaukee Bucks,1/1/2022,3,4,6,1.53939,2.68984,5.28875,215,0.991247
WI,Milwaukee Bucks,2/1/2022,4,5,7,2.93056,8.43943,7.8041,205,0.972883
WI,Milwaukee Bucks,3/1/2022,16,12,9,16.76878,11.0118,10.63473,346,0.966568
WI,Milwaukee Bucks,4/1/2022,17,11,11,17.09175,8.89284,10.48223,338,0.965493
WI,Milwaukee Bucks,5/1/2022,8,11,10,8.02537,8.0471,11.63815,322,0.996594
WI,Milwaukee Bucks,6/1/2022,6,12,10,6.08549,14.22444,12.13741,700,0.902579
WI,Milwaukee Bucks,7/1/2022,11,7,13,11.14517,5.66001,14.08024,210,1.363624
WI,Milwaukee Bucks,8/1/2022,5,7,8,3.80903,5.621,12.02362,567,0.970269
WV,No Team,10/1/2021,0,0,1,0,0,0.80239,62,0.702416
WV,No Team,11/1/2021,0,7,1,0,5.26009,0.34914,61,0.724421
WV,No Team,12/1/2021,2,3,4,2.7661,2.27251,2.03798,71,0.820336
WV,No Team,1/1/2022,1,0,4,2.2815,0,2.39059,68,0.831278
WV,No Team,2/1/2022,0,2,1,0,1.28685,0.45105,66,0.868482
WV,No Team,3/1/2022,2,5,3,3.00022,3.3727,2.43412,153,0.922663
WV,No Team,4/1/2022,1,2,8,4.41677,1.11821,7.80743,145,0.925892
WV,No Team,5/1/2022,0,4,2,0,3.9164,1.48296,148,0.913248
WV,No Team,6/1/2022,2,5,1,1.1467,2.53907,1.0603,324,0.816353
WV,No Team,7/1/2022,3,1,4,2.75226,0.61233,2.34559,78,1.389417
WV,No Team,8/1/2022,0,2,3,0,1.76742,2.93765,256,0.92356
WY,No Team,1/1/2022,0,0,1,0,0,0.20002,11,1.308073
WY,No Team,7/1/2022,1,0,1,0.87541,0,0.87541,10,1.497536
